E70EB5E7ACE5 // Pat:0 Dec:[-400, -331, -390, -795]
142CA7EC915A // Pat:0 Dec:[322, -857, -311, 346]
F6FE3D37EF50 // Pat:0 Dec:[-145, -451, 894, -176]
C9CFA8FAB20B // Pat:0 Dec:[-868, -88, -85, 523]
F1A0A83551F3 // Pat:1 Dec:[-230, 168, 853, 499]
F5FC63FA2190 // Pat:1 Dec:[-161, -925, -94, 400]
01AE7521ACF8 // Pat:1 Dec:[26, -395, 538, -776]
3DCF9D0A90CB // Pat:1 Dec:[988, -99, 169, 203]
1C3276E66214 // Pat:2 Dec:[451, 630, -410, 532]
EE70322AC2C2 // Pat:2 Dec:[-281, 50, 684, 706]
E0CE4AD881C3 // Pat:2 Dec:[-500, -438, -632, 451]
2CCD6A0500FC // Pat:2 Dec:[716, -662, 80, 252]
1C0DC9E2CDCF // Pat:3 Dec:[448, -567, -468, -561]
21DF13348FE1 // Pat:3 Dec:[541, -237, 840, -31]
DC802715ACF4 // Pat:3 Dec:[-568, 39, 346, -780]
1EF337FA2E9F // Pat:3 Dec:[495, 823, -94, -353]
10DE2CCD0ED1 // Pat:4 Dec:[269, -468, -816, -303]
CACDD0058F8F // Pat:4 Dec:[-852, -560, 88, -113]
E0C2CBE07F4E // Pat:4 Dec:[-500, 715, -505, -178]
F92FB2EAA3BA // Pat:4 Dec:[-110, -78, -342, 954]
1D91350E7CC7 // Pat:5 Dec:[473, 309, 231, -825]
32DE43E6E0B7 // Pat:5 Dec:[813, -445, -402, 183]
13C356F9C1D4 // Pat:5 Dec:[316, 854, -100, 468]
EE80B2C70EA9 // Pat:5 Dec:[-280, 178, -912, -343]
F4D1D80F9CA8 // Pat:6 Dec:[-179, 472, 249, -856]
C88F771AE0EB // Pat:6 Dec:[-888, -137, 430, 235]
00F37D0311F8 // Pat:6 Dec:[15, 893, 49, 504]
1DEF8D380060 // Pat:6 Dec:[478, -115, 896, 96]
1A32B51C8E4F // Pat:7 Dec:[419, 693, 456, -433]
0A2D281F1E11 // Pat:7 Dec:[162, -728, 497, -495]
39DF49E840BC // Pat:7 Dec:[925, -183, -380, 188]
073FDC2A52F3 // Pat:7 Dec:[115, -36, 677, 755]
2EFDECE84F0B // Pat:8 Dec:[751, -532, -380, -245]
1C2338E890A9 // Pat:8 Dec:[450, 824, -375, 169]
F7EED5E6C373 // Pat:8 Dec:[-130, -299, -404, 883]
DEF00CCF6E58 // Pat:8 Dec:[-529, 12, -778, -424]
214EE2DC625D // Pat:9 Dec:[532, -286, -570, 605]
D5E07A0762F3 // Pat:9 Dec:[-674, 122, 118, 755]
