116F1DFEC0DC // Pat:0 Dec:[278, -227, -20, 220]
00016FE6E05D // Pat:0 Dec:[0, 367, -402, 93]
0000000EA232 // Pat:0 Dec:[0, 0, 234, 562]
00000000017A // Pat:0 Dec:[0, 0, 0, 378]
20A0B6D98024 // Pat:1 Dec:[522, 182, -616, 36]
00017C1380C6 // Pat:1 Dec:[0, 380, 312, 198]
000000153FE1 // Pat:1 Dec:[0, 0, 339, -31]
000000000033 // Pat:1 Dec:[0, 0, 0, 51]
2C1ED0EE4001 // Pat:2 Dec:[705, -304, -284, 1]
00023D1ABFA1 // Pat:2 Dec:[0, 573, 427, -95]
000000185C6D // Pat:2 Dec:[0, 0, 389, -915]
00000000002D // Pat:2 Dec:[0, 0, 0, 45]
23CFB21DAF31 // Pat:3 Dec:[572, -78, 474, -207]
0002240BC166 // Pat:3 Dec:[0, 548, 188, 358]
0000000DA0BA // Pat:3 Dec:[0, 0, 218, 186]
000000000213 // Pat:3 Dec:[0, 0, 0, 531]
26310B03CEB3 // Pat:4 Dec:[611, 267, 60, -333]
000273EECF61 // Pat:4 Dec:[0, 627, -276, -159]
0000001DE173 // Pat:4 Dec:[0, 0, 478, 371]
0000000000C9 // Pat:4 Dec:[0, 0, 0, 201]
278E09120FE0 // Pat:5 Dec:[632, -503, 288, -32]
00020E134E9F // Pat:5 Dec:[0, 526, 308, -353]
0000001B1E43 // Pat:5 Dec:[0, 0, 433, -445]
0000000000B8 // Pat:5 Dec:[0, 0, 0, 184]
2281322230FF // Pat:6 Dec:[552, 306, 547, 255]
0002100F5F30 // Pat:6 Dec:[0, 528, 245, -208]
0000000A4E0E // Pat:6 Dec:[0, 0, 164, -498]
000000000201 // Pat:6 Dec:[0, 0, 0, 513]
2CD296F1E0F7 // Pat:7 Dec:[717, 662, -226, 247]
0001270B0E96 // Pat:7 Dec:[0, 295, 176, -362]
0000001D51E0 // Pat:7 Dec:[0, 0, 469, 480]
000000000103 // Pat:7 Dec:[0, 0, 0, 259]
2AE0B20D029B // Pat:8 Dec:[686, 178, 208, 667]
000105F23065 // Pat:8 Dec:[0, 261, -221, 101]
000000255100 // Pat:8 Dec:[0, 0, 597, 256]
00000000007B // Pat:8 Dec:[0, 0, 0, 123]
2B909E038EF0 // Pat:9 Dec:[697, 158, 56, -272]
000214EB7DE8 // Pat:9 Dec:[0, 532, -329, -536]
000000215E98 // Pat:9 Dec:[0, 0, 533, -360]
000000000119 // Pat:9 Dec:[0, 0, 0, 281]
0D2E51FDFF9D // Pat:10 Dec:[210, -431, -33, -99]
00017AF49DE5 // Pat:10 Dec:[0, 378, -183, -539]
0000001F8D8A // Pat:10 Dec:[0, 0, 504, -630]
000000000048 // Pat:10 Dec:[0, 0, 0, 72]
330096F28E88 // Pat:11 Dec:[816, 150, -216, -376]
00027AED1DD9 // Pat:11 Dec:[0, 634, -303, -551]
0000001910AD // Pat:11 Dec:[0, 0, 401, 173]
000000000114 // Pat:11 Dec:[0, 0, 0, 276]
21DF48EA1E92 // Pat:12 Dec:[541, -184, -351, -366]
000241DBAED1 // Pat:12 Dec:[0, 577, -582, -303]
00000009402D // Pat:12 Dec:[0, 0, 148, 45]
0000000000C0 // Pat:12 Dec:[0, 0, 0, 192]
2D727301EFDD // Pat:13 Dec:[727, 627, 30, -35]
0001C2F0B0D7 // Pat:13 Dec:[0, 450, -245, 215]
0000000911CB // Pat:13 Dec:[0, 0, 145, 459]
000000000223 // Pat:13 Dec:[0, 0, 0, 547]
2980001DD051 // Pat:14 Dec:[664, 0, 477, 81]
000233F84E7B // Pat:14 Dec:[0, 563, -124, -389]
0000000BC137 // Pat:14 Dec:[0, 0, 188, 311]
000000000074 // Pat:14 Dec:[0, 0, 0, 116]
280204058136 // Pat:15 Dec:[640, 516, 88, 310]
00021500AF04 // Pat:15 Dec:[0, 533, 10, -252]
00000027AE2C // Pat:15 Dec:[0, 0, 634, -468]
00000000000A // Pat:15 Dec:[0, 0, 0, 10]
1CBDCBF32019 // Pat:16 Dec:[459, -565, -206, 25]
00012D01BF3B // Pat:16 Dec:[0, 301, 27, -197]
00000013215F // Pat:16 Dec:[0, 0, 306, 351]
000000000089 // Pat:16 Dec:[0, 0, 0, 137]
15B152D450C8 // Pat:17 Dec:[347, 338, -699, 200]
0002290310CE // Pat:17 Dec:[0, 553, 49, 206]
00000017E185 // Pat:17 Dec:[0, 0, 382, 389]
00000000003E // Pat:17 Dec:[0, 0, 0, 62]
1F7090F61EC2 // Pat:18 Dec:[503, 144, -159, -318]
00023FF66EF8 // Pat:18 Dec:[0, 575, -154, -264]
000000188019 // Pat:18 Dec:[0, 0, 392, 25]
000000000186 // Pat:18 Dec:[0, 0, 0, 390]
116FB4F0702F // Pat:19 Dec:[278, -76, -249, 47]
0001D8082068 // Pat:19 Dec:[0, 472, 130, 104]
00000022DFFA // Pat:19 Dec:[0, 0, 557, -6]
0000000002CB // Pat:19 Dec:[0, 0, 0, 715]
2A6146FE61D2 // Pat:20 Dec:[678, 326, -26, 466]
000168FB318D // Pat:20 Dec:[0, 360, -77, 397]
000000109F58 // Pat:20 Dec:[0, 0, 265, -168]
0000000000E7 // Pat:20 Dec:[0, 0, 0, 231]
1971F709EE9F // Pat:21 Dec:[407, 503, 158, -353]
00025AEF706D // Pat:21 Dec:[0, 602, -265, 109]
00000007AFA1 // Pat:21 Dec:[0, 0, 122, -95]
000000000222 // Pat:21 Dec:[0, 0, 0, 546]
1B812816A0B8 // Pat:22 Dec:[440, 296, 362, 184]
00006A09AD6C // Pat:22 Dec:[0, 106, 154, -660]
00000014EFAB // Pat:22 Dec:[0, 0, 334, -85]
0000000000B3 // Pat:22 Dec:[0, 0, 0, 179]
1DAF65FE9E9B // Pat:23 Dec:[474, -155, -23, -357]
0002BAEB8021 // Pat:23 Dec:[0, 698, -328, 33]
000000319149 // Pat:23 Dec:[0, 0, 793, 329]
0000000000E8 // Pat:23 Dec:[0, 0, 0, 232]
2BBDE1F43EBF // Pat:24 Dec:[699, -543, -189, -321]
00012BEF1EAA // Pat:24 Dec:[0, 299, -271, -342]
00000017E0A6 // Pat:24 Dec:[0, 0, 382, 166]
00000000000F // Pat:24 Dec:[0, 0, 0, 15]
2660C8F4F02A // Pat:25 Dec:[614, 200, -177, 42]
00025D173FE2 // Pat:25 Dec:[0, 605, 371, -30]
000000109FB3 // Pat:25 Dec:[0, 0, 265, -77]
000000000091 // Pat:25 Dec:[0, 0, 0, 145]
1A3FDC08911C // Pat:26 Dec:[419, -36, 137, 284]
0001B808511D // Pat:26 Dec:[0, 440, 133, 285]
0000001DAF62 // Pat:26 Dec:[0, 0, 474, -158]
000000000007 // Pat:26 Dec:[0, 0, 0, 7]
21918CF76F4E // Pat:27 Dec:[537, 396, -138, -178]
000041142020 // Pat:27 Dec:[0, 65, 322, 32]
0000000B7E34 // Pat:27 Dec:[0, 0, 183, -460]
0000000001C8 // Pat:27 Dec:[0, 0, 0, 456]
244D48E75FD4 // Pat:28 Dec:[580, -696, -395, -44]
000218F15058 // Pat:28 Dec:[0, 536, -235, 88]
000000231216 // Pat:28 Dec:[0, 0, 561, 534]
00000000000A // Pat:28 Dec:[0, 0, 0, 10]
252FCCF94E22 // Pat:29 Dec:[594, -52, -108, -478]
00036CF1CEDF // Pat:29 Dec:[0, 876, -228, -289]
000000284F5A // Pat:29 Dec:[0, 0, 644, -166]
00000000004D // Pat:29 Dec:[0, 0, 0, 77]
2CBEB4050EAF // Pat:30 Dec:[715, -332, 80, -337]
000279157FBB // Pat:30 Dec:[0, 633, 343, -69]
0000001F4FB6 // Pat:30 Dec:[0, 0, 500, -74]
0000000000A7 // Pat:30 Dec:[0, 0, 0, 167]
1C013C1E0F93 // Pat:31 Dec:[448, 316, 480, -109]
00028922CF31 // Pat:31 Dec:[0, 649, 556, -207]
00000018FEE4 // Pat:31 Dec:[0, 0, 399, -284]
00000000015F // Pat:31 Dec:[0, 0, 0, 351]
267EB202FFEC // Pat:32 Dec:[615, -334, 47, -20]
0000D5FE1152 // Pat:32 Dec:[0, 213, -31, 338]
0000002260FB // Pat:32 Dec:[0, 0, 550, 251]
000000000116 // Pat:32 Dec:[0, 0, 0, 278]
210E13FC7F94 // Pat:33 Dec:[528, -493, -57, -108]
0001B1D6FFF8 // Pat:33 Dec:[0, 433, -657, -8]
0000000BCF5F // Pat:33 Dec:[0, 0, 188, -161]
00000000023A // Pat:33 Dec:[0, 0, 0, 570]
2E10E3EEEE92 // Pat:34 Dec:[737, 227, -274, -366]
00024B1011E7 // Pat:34 Dec:[0, 587, 257, 487]
0000001E0128 // Pat:34 Dec:[0, 0, 480, 296]
00000000000F // Pat:34 Dec:[0, 0, 0, 15]
1EF0DC075FEC // Pat:35 Dec:[495, 220, 117, -20]
000126E6C060 // Pat:35 Dec:[0, 294, -404, 96]
0000001461C7 // Pat:35 Dec:[0, 0, 326, 455]
000000000138 // Pat:35 Dec:[0, 0, 0, 312]
17E16D158D88 // Pat:36 Dec:[382, 365, 344, -632]
0001C2EF301E // Pat:36 Dec:[0, 450, -269, 30]
00000019B037 // Pat:36 Dec:[0, 0, 411, 55]
00000000014E // Pat:36 Dec:[0, 0, 0, 334]
2A70D8F0B158 // Pat:37 Dec:[679, 216, -245, 344]
0001C7F48F66 // Pat:37 Dec:[0, 455, -184, -154]
0000001F3ECC // Pat:37 Dec:[0, 0, 499, -308]
0000000000FC // Pat:37 Dec:[0, 0, 0, 252]
163046113023 // Pat:38 Dec:[355, 70, 275, 35]
00012BE9A09D // Pat:38 Dec:[0, 299, -358, 157]
0000001831B3 // Pat:38 Dec:[0, 0, 387, 435]
00000000006D // Pat:38 Dec:[0, 0, 0, 109]
38BFAA01EFAD // Pat:39 Dec:[907, -86, 30, -83]
000237EBCEE0 // Pat:39 Dec:[0, 567, -324, -288]
000000161FCD // Pat:39 Dec:[0, 0, 353, -51]
000000000011 // Pat:39 Dec:[0, 0, 0, 17]
29B012E35F22 // Pat:40 Dec:[667, 18, -459, -222]
0002301790C5 // Pat:40 Dec:[0, 560, 377, 197]
00000014E084 // Pat:40 Dec:[0, 0, 334, 132]
000000000053 // Pat:40 Dec:[0, 0, 0, 83]
24B0DEF3D10E // Pat:41 Dec:[587, 222, -195, 270]
000246EA1EE0 // Pat:41 Dec:[0, 582, -351, -288]
00000024AF66 // Pat:41 Dec:[0, 0, 586, -154]
000000000078 // Pat:41 Dec:[0, 0, 0, 120]
2B4F7509916F // Pat:42 Dec:[692, -139, 153, 367]
0002412CC0BB // Pat:42 Dec:[0, 577, 716, 187]
00000011C0F1 // Pat:42 Dec:[0, 0, 284, 241]
000000000033 // Pat:42 Dec:[0, 0, 0, 51]
298ED922BF53 // Pat:43 Dec:[664, -295, 555, -173]
0001AF0940DD // Pat:43 Dec:[0, 431, 148, 221]
0000002E8DA8 // Pat:43 Dec:[0, 0, 744, -600]
0000000000E3 // Pat:43 Dec:[0, 0, 0, 227]
2F4064FC520F // Pat:44 Dec:[756, 100, -59, 527]
00026DDF4F4A // Pat:44 Dec:[0, 621, -524, -182]
0000001D5F68 // Pat:44 Dec:[0, 0, 469, -152]
000000000187 // Pat:44 Dec:[0, 0, 0, 391]
12D1C6051F18 // Pat:45 Dec:[301, 454, 81, -232]
00015E10F1D3 // Pat:45 Dec:[0, 350, 271, 467]
000000112114 // Pat:45 Dec:[0, 0, 274, 276]
00000000006A // Pat:45 Dec:[0, 0, 0, 106]
26F2A7F6A1C7 // Pat:46 Dec:[623, 679, -150, 455]
0000CAFCEDEF // Pat:46 Dec:[0, 202, -50, -529]
000000255FC2 // Pat:46 Dec:[0, 0, 597, -62]
00000000015D // Pat:46 Dec:[0, 0, 0, 349]
219EEF10902A // Pat:47 Dec:[537, -273, 265, 42]
000184EBE1E9 // Pat:47 Dec:[0, 388, -322, 489]
000000126074 // Pat:47 Dec:[0, 0, 294, 116]
000000000050 // Pat:47 Dec:[0, 0, 0, 80]
2670C60BB05F // Pat:48 Dec:[615, 198, 187, 95]
000170DA826F // Pat:48 Dec:[0, 368, -600, 623]
0000000F0125 // Pat:48 Dec:[0, 0, 240, 293]
000000000112 // Pat:48 Dec:[0, 0, 0, 274]
2AE303019FD3 // Pat:49 Dec:[686, 771, 25, -45]
00008B1DBED6 // Pat:49 Dec:[0, 139, 475, -298]
000000169161 // Pat:49 Dec:[0, 0, 361, 353]
00000000006D // Pat:49 Dec:[0, 0, 0, 109]
18A09B054054 // Pat:50 Dec:[394, 155, 84, 84]
0001AF1AEF15 // Pat:50 Dec:[0, 431, 430, -235]
00000010B00D // Pat:50 Dec:[0, 0, 267, 13]
000000000237 // Pat:50 Dec:[0, 0, 0, 567]
200F5A002F5F // Pat:51 Dec:[512, -166, 2, -161]
0001F4F57CFE // Pat:51 Dec:[0, 500, -169, -770]
00000018100D // Pat:51 Dec:[0, 0, 385, 13]
0000000000D0 // Pat:51 Dec:[0, 0, 0, 208]
0B2F75103E79 // Pat:52 Dec:[178, -139, 259, -391]
0001830ACEC3 // Pat:52 Dec:[0, 387, 172, -317]
00000029FFDC // Pat:52 Dec:[0, 0, 671, -36]
0000000000EC // Pat:52 Dec:[0, 0, 0, 236]
1F8028118118 // Pat:53 Dec:[504, 40, 280, 280]
00022610DECE // Pat:53 Dec:[0, 550, 269, -306]
0000001910ED // Pat:53 Dec:[0, 0, 401, 237]
000000000183 // Pat:53 Dec:[0, 0, 0, 387]
2A7FA7163042 // Pat:54 Dec:[679, -89, 355, 66]
00013CF6CF53 // Pat:54 Dec:[0, 316, -148, -173]
0000002731C6 // Pat:54 Dec:[0, 0, 627, 454]
000000000215 // Pat:54 Dec:[0, 0, 0, 533]
2EBF75081E61 // Pat:55 Dec:[747, -139, 129, -415]
0001680730C9 // Pat:55 Dec:[0, 360, 115, 201]
000000245FAA // Pat:55 Dec:[0, 0, 581, -86]
000000000031 // Pat:55 Dec:[0, 0, 0, 49]
20AEA5FA3120 // Pat:56 Dec:[522, -347, -93, 288]
0001D2FB1DCA // Pat:56 Dec:[0, 466, -79, -566]
00000017F0D2 // Pat:56 Dec:[0, 0, 383, 210]
00000000003D // Pat:56 Dec:[0, 0, 0, 61]
28E000EB4FB4 // Pat:57 Dec:[654, 0, -332, -76]
0001CF1A601A // Pat:57 Dec:[0, 463, 422, 26]
00000011C00A // Pat:57 Dec:[0, 0, 284, 10]
00000000015C // Pat:57 Dec:[0, 0, 0, 348]
1C806D060023 // Pat:58 Dec:[456, 109, 96, 35]
0002060CB241 // Pat:58 Dec:[0, 518, 203, 577]
000000157FD8 // Pat:58 Dec:[0, 0, 343, -40]
0000000000D9 // Pat:58 Dec:[0, 0, 0, 217]
29303908F139 // Pat:59 Dec:[659, 57, 143, 313]
00022110511E // Pat:59 Dec:[0, 545, 261, 286]
0000001A0038 // Pat:59 Dec:[0, 0, 416, 56]
0000000001D1 // Pat:59 Dec:[0, 0, 0, 465]
1EFF24D8FF65 // Pat:60 Dec:[495, -220, -625, -155]
000332F61F5F // Pat:60 Dec:[0, 818, -159, -161]
00000009BFB3 // Pat:60 Dec:[0, 0, 155, -77]
0000000001C8 // Pat:60 Dec:[0, 0, 0, 456]
2C6F3E0FFF8A // Pat:61 Dec:[710, -194, 255, -118]
0001ADF7401B // Pat:61 Dec:[0, 429, -140, 27]
000000123ECC // Pat:61 Dec:[0, 0, 291, -308]
00000000003E // Pat:61 Dec:[0, 0, 0, 62]
27EFBA0580B7 // Pat:62 Dec:[638, -70, 88, 183]
